Year,Quarter,Report Type,PDF Link,Format
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-copia.pdf,text
,3Q,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-GASTOS-CON-PERSPECTIVA-DE-GENERO-3°TRIMESTRE.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-copia.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/Estado-de-Ejecucion-de-Gastos-por-Caracter-Economico-Marzo.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/Estado-de-Ejecucion-de-Gastos-por-Finalidad-y-Funcion-Marzo.pdf,text
,3Q,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-3°TRIMESTRE.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-copia.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-2.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/Estado-de-Ejecucion-de-Gastos-por-Fuente-de-Financiamiento-Marzo.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-1.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/Estado-de-Ejecucion-de-Gastos-por-Fuente-de-Financiamiento-4toTrimestres.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-2.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-1.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-1.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/Estado-de-Ejecucion-de-Recursos-Afectados-vs-Gastos-Marzo.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADOS-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-2.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/Estado-de-Ejecucion-de-Gastos-por-Caracter-Economico-Junio.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/Estado-de-Ejecucion-de-Gastos-por-Finalidad-y-Funcion-Junio.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS-2.pdf,text
,3Q,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-3°TRIMESTRE.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/Estado-de-Ejecucion-de-Gastos-por-Fuente-de-Financiamiento-3er-Trimestres.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS-1.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION.pdf,text
,Q1,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/Estado-de-Ejecucion-de-Gastos-con-Perspectiva-de-Genero-Marzo.pdf,text
,3Q,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-3°TRIMESTRE.pdf,text
,3Q,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS-3°TRIMESTRE.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/Estado-de-Ejecucion-de-Recursos-Afectados-vs-Gastos-Junio.pdf,text
,Q1,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-GASTOS-CON-PERSPECTIVA-DE-GENERO-2.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/Estado-de-Ejecucion-de-Gastos-por-Fuente-de-Financiamiento-Junio.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS.pdf,text
,Q1,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/Estado-de-Ejecucion-de-Gastos-con-Perspectiva-de-Genero-Junio.pdf,text
,,Documentos Municipales,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/GASTOS-POR-FUENTE-DE-FINANCIAMIENTO.pdf,text
,,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/Estado-de-Ejecucion-de-Recursos-Marzo.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-copia.pdf,text
,3Q,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-GASTOS-CON-PERSPECTIVA-DE-GENERO-3°TRIMESTRE.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-copia.pdf,text
2022.0,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS-4°TRE-2022.pdf,text
2023.0,4Q,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-2023-4°TRI.pdf,text
2022.0,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-4°TRE-2022.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/Estado-de-Ejecucion-de-Gastos-por-Caracter-Economico-Marzo.pdf,text
2022.0,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-4°TRE-2022.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/Estado-de-Ejecucion-de-Gastos-por-Finalidad-y-Funcion-Marzo.pdf,text
,3Q,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-3°TRIMESTRE.pdf,text
,,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/Estado-de-Ejecucion-de-Recursos-por-Procedencia-Marzo.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-copia.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-2.pdf,text
,,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/Estado-de-Ejecucion-de-Recursos-por-Caracter-Economico-Marzo.pdf,text
,,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-RECURSOS.pdf,text
2023.0,4Q,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-CARACTER-ECONOMICO-2023-4°TRI.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/Estado-de-Ejecucion-de-Gastos-por-Fuente-de-Financiamiento-Marzo.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-1.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/Estado-de-Ejecucion-de-Gastos-por-Fuente-de-Financiamiento-4toTrimestres.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-2.pdf,text
2023.0,4Q,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-RECURSOS-2023-4°TRI.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-1.pdf,text
2023.0,4Q,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-2023-4°TRI.pdf,text
,3Q,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-RECURSOS-3°TRIMESTRE.pdf,text
