Year,Quarter,Category name,File link,source_file,source_path
2024.0,Q2,Estado de Ejecución de Gastos por Finalidad y Función,https://carmendeareco.gob.ar/wp-content/uploads/2024/08/Estado-de-Ejecucion-de-Gastos-por-Finalidad-y-Funcion-Junio.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q2,Estado de Ejecución de Gastos con Perspectiva de Género,https://carmendeareco.gob.ar/wp-content/uploads/2024/08/Estado-de-Ejecucion-de-Gastos-con-Perspectiva-de-Genero-Junio.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q2,Situación Económica Financiera,https://carmendeareco.gob.ar/wp-content/uploads/2024/08/Situacion-Economico-Financiera-Junio.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
,Q2,BALANCE-GENERAL-2020.pdf,https://carmendeareco.gob.ar/download/gobierno-abierto/BALANCE-GENERAL-2020.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q1,Estado de Ejecución de Recursos,https://carmendeareco.gob.ar/wp-content/uploads/2024/08/Estado-de-Ejecucion-de-Recursos-Marzo.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q1,Estado de Ejecución de Recursos por Procedencia,https://carmendeareco.gob.ar/wp-content/uploads/2024/08/Estado-de-Ejecucion-de-Recursos-por-Procedencia-Marzo.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q1,Estado de Ejecución de Recursos por Carácter Económico,https://carmendeareco.gob.ar/wp-content/uploads/2024/08/Estado-de-Ejecucion-de-Recursos-por-Caracter-Economico-Marzo.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q1,Estado de Ejecución de Recursos Afectados Vs Gastos,https://carmendeareco.gob.ar/wp-content/uploads/2024/08/Estado-de-Ejecucion-de-Recursos-Afectados-vs-Gastos-Marzo.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q1,Estado de Ejecución de Gastos,https://carmendeareco.gob.ar/wp-content/uploads/2024/08/Estado-de-Ejecucion-de-Gastos-Marzo.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q1,Estado de Ejecución de Gastos por Fuente de Financiamiento,https://carmendeareco.gob.ar/wp-content/uploads/2024/08/Estado-de-Ejecucion-de-Gastos-por-Fuente-de-Financiamiento-Marzo.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q1,Estado de Ejecución de Gastos por Carácter Económico,https://carmendeareco.gob.ar/wp-content/uploads/2024/08/Estado-de-Ejecucion-de-Gastos-por-Caracter-Economico-Marzo.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q1,Estado de Ejecución de Gastos por Finalidad y Función,https://carmendeareco.gob.ar/wp-content/uploads/2024/08/Estado-de-Ejecucion-de-Gastos-por-Finalidad-y-Funcion-Marzo.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q1,Estado de Ejecución de Gastos con Perspectiva de Género,https://carmendeareco.gob.ar/wp-content/uploads/2024/08/Estado-de-Ejecucion-de-Gastos-con-Perspectiva-de-Genero-Marzo.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q1,Situación Económica Financiera,https://carmendeareco.gob.ar/wp-content/uploads/2024/08/Situacion-Economico-Financiera-Marzo.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q1,Cuenta Ahorro Inversión Financiamiento,https://carmendeareco.gob.ar/wp-content/uploads/2024/08/Cuenta-Ahorro-Inversion-Financiamiento-Marzo.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q4,Estado de Ejecución de Recursos,https://carmendeareco.gob.ar/wp-content/uploads/2024/04/ESTADO-DE-EJECUCION-DE-RECURSOS-2023-4°TRI.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q4,Estado de Ejecución de Recursos por Procedencia,https://carmendeareco.gob.ar/wp-content/uploads/2024/04/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-2023-4°TRI.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q4,Estado de Ejecución de Recursos por Carácter Económico,https://carmendeareco.gob.ar/wp-content/uploads/2024/04/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-CARACTER-ECONOMICO-2023-4°TRI.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q4,Estado de Ejecución de Recursos Afectados Vs Gastos,https://carmendeareco.gob.ar/wp-content/uploads/2024/04/ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS-2023-4°TRI.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q4,Estado de Ejecución de Gastos,https://carmendeareco.gob.ar/wp-content/uploads/2024/04/ESTADO-DE-EJECUCION-DE-GASTOS-2023-4°TRI.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q4,Estado de Ejecución de Gastos por Fuente de Financiamiento,https://carmendeareco.gob.ar/wp-content/uploads/2024/04/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-2023-4°TRI.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q4,Estado de Ejecución de Gastos por Carácter Económico,https://carmendeareco.gob.ar/wp-content/uploads/2024/04/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-2023-4°TRI.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q4,Estado de Ejecución de Gastos por Finalidad y Función,https://carmendeareco.gob.ar/wp-content/uploads/2024/04/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-2023-4°TRI.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q4,Estado de Ejecución de Gastos por Perspectiva de Género,https://carmendeareco.gob.ar/wp-content/uploads/2024/04/ESTADO-DE-EJECUCION-DE-GASTOS-POR-PERSPECTIVA-DE-GENERO-4°TRIMESTRE-2023.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q4,Situación Económica Financiera,https://carmendeareco.gob.ar/wp-content/uploads/2024/04/SITUACION-ECONOMICA-FINANCIERA-4°TRIMESTRE.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2024.0,Q4,Cuenta Ahorro Inversión Financiamiento,https://carmendeareco.gob.ar/wp-content/uploads/2024/04/CUENTA-AHORRO-INVERSION-FINANCIAMIENTO-4°TRIMESTRE-2023.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
2023.0,Q3,Estado de Ejecución de Recursos,https://carmendeareco.gob.ar/wp-content/uploads/2023/10/ESTADO-DE-EJECUCION-DE-RECURSOS-3°TRIMESTRE.pdf,transparency_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/transparency_index.csv
