hash,filename,category,year,size_mb,web_url
4f9f36eb2fa279a17e70f5ce1758fe0ffa5eba1b3e46b1e0d096becf6d44c6a6,ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-1.pdf,budget_execution,unknown,0.08,/data/documents/pdfs/budget_execution/unknown/4f9f36eb_ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-1.pdf
f0a524f4c7136cfd1b1259b5588a93b1c3f5639b1f7f20552ec125b2d755e8ad,ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-4°TRE-2022.pdf,budget_execution,2022,0.1,/data/documents/pdfs/budget_execution/2022/f0a524f4_ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-4°TRE-2022.pdf
9ca20572c11d3a60741b778f76c5e6288ad288211ed403f80d97b92cfd3907da,Estado-de-Ejecucion-de-Recursos-por-Procedencia-Junio.pdf,budget_execution,unknown,0.35,/data/documents/pdfs/budget_execution/unknown/9ca20572_Estado-de-Ejecucion-de-Recursos-por-Procedencia-Junio.pdf
2f28055c2e1df3b2283f4e23ba6aa875dabeb5a491078bf23b5a106c7ad4b7e9,Estado-de-Ejecucion-de-Recursos-Afectados-vs-Gastos-Marzo.pdf,budget_execution,unknown,0.39,/data/documents/pdfs/budget_execution/unknown/2f28055c_Estado-de-Ejecucion-de-Recursos-Afectados-vs-Gastos-Marzo.pdf
c79cc06ec688d509a4123f46bba8a8fa7fe02a31c9920546784b05eeceb03ead,ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-2023-4°TRI.pdf,budget_execution,2023,0.07,/data/documents/pdfs/budget_execution/2023/c79cc06e_ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-2023-4°TRI.pdf
8bf8fc908041f32b11fb7ed8732ecd5083042b9c30229de81b6f90b39cba5a26,ESTADO-DE-EJECUCION-DE-RECURSOS-4°TRE-2022.pdf,budget_execution,2022,0.14,/data/documents/pdfs/budget_execution/2022/8bf8fc90_ESTADO-DE-EJECUCION-DE-RECURSOS-4°TRE-2022.pdf
c785170fd84deba5735fd324a078a5123e5d4cc46ba6c98b43376d47e2531ba2,ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-3°TRIMESTRE.pdf,budget_execution,unknown,0.08,/data/documents/pdfs/budget_execution/unknown/c785170f_ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-3°TRIMESTRE.pdf
f901b71d01b5f721ce6192221f070adb937dabe36a547a20e18047438e5d3350,Situacion-Economico-Financiera-4to-Trimestre.pdf,financial_statements,unknown,0.29,/data/documents/pdfs/financial_statements/unknown/f901b71d_Situacion-Economico-Financiera-4to-Trimestre.pdf
c598acc527f92993ade1139a24c3fe9b668be66dbaa672d390240dce826c45dc,Estado-de-Ejecucion-de-Gastos-por-Fuente-de-Financiamiento-3er-Trimestres.pdf,budget_execution,unknown,0.27,/data/documents/pdfs/budget_execution/unknown/c598acc5_Estado-de-Ejecucion-de-Gastos-por-Fuente-de-Financiamiento-3er-Trimestres.pdf
37b9eaddabafb660035df5a322a84523cda4f5d34f60a3ff6fa7d4363e199b6b,ESTADO-DE-EJECUCION-DE-RECURSOS-1.pdf,budget_execution,unknown,0.14,/data/documents/pdfs/budget_execution/unknown/37b9eadd_ESTADO-DE-EJECUCION-DE-RECURSOS-1.pdf
e603a19d1b7049bda57b0efcda3b2d964be27955d17e92c26d7fb2695e022424,ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-copia.pdf,budget_execution,unknown,0.06,/data/documents/pdfs/budget_execution/unknown/e603a19d_ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-copia.pdf
affa65225aec2163f7efe665d394d61af9ba6b94eac36ef1a7f73df54e023279,Estado-de-Ejecucion-de-Recursos-por-Procedencia-Marzo.pdf,budget_execution,unknown,0.34,/data/documents/pdfs/budget_execution/unknown/affa6522_Estado-de-Ejecucion-de-Recursos-por-Procedencia-Marzo.pdf
1c3648564ea79e7485c21ac60d9e6e53a8d08c42af24a8550b9a0eb1f381cbb5,SITUACION-ECONOMICO-FINANCIERA.pdf,financial_statements,unknown,0.22,/data/documents/pdfs/financial_statements/unknown/1c364856_SITUACION-ECONOMICO-FINANCIERA.pdf
c401cfabe62f7406b74d761f36122ff31dbda494e474f4f87b66427d44712c14,ESTADOS-DE-EJECUCION-DE-RECURSOS-3°TRI-2022.pdf,budget_execution,2022,0.14,/data/documents/pdfs/budget_execution/2022/c401cfab_ESTADOS-DE-EJECUCION-DE-RECURSOS-3°TRI-2022.pdf
37c59f6650444a6e1f8665aa6ba719eb4e24e502d37601bf627614f7e917f517,Estado-de-Ejecucion-de-Gastos-con-Perspectiva-de-Genero-Marzo.pdf,budget_execution,unknown,0.27,/data/documents/pdfs/budget_execution/unknown/37c59f66_Estado-de-Ejecucion-de-Gastos-con-Perspectiva-de-Genero-Marzo.pdf
f1a97a35e5325a2e0139fc0298ff7508650fce19b195dc758feb419b0a8c56a4,Estado-de-Ejecucion-de-Gastos-por-Caracter-Economico-Junio.pdf,budget_execution,unknown,0.38,/data/documents/pdfs/budget_execution/unknown/f1a97a35_Estado-de-Ejecucion-de-Gastos-por-Caracter-Economico-Junio.pdf
be9be7d910fdf7007b93b9941d47fc8f6628574322d1b8148190bbccf2a090a5,Estado-de-Ejecucion-de-Recursos-Marzo.pdf,budget_execution,unknown,0.44,/data/documents/pdfs/budget_execution/unknown/be9be7d9_Estado-de-Ejecucion-de-Recursos-Marzo.pdf
f201f0fd100485241cf4933c842bdd0ee5bd010b07269ffd08adc3d29dd26769,ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA.pdf,budget_execution,unknown,0.08,/data/documents/pdfs/budget_execution/unknown/f201f0fd_ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA.pdf
1bc732bc7316a4f5b6a0e6ec2681d32feee67584dbb15d65e7e3c771265e0b6f,Estado-de-Ejecucion-de-Gastos-por-Fuente-de-Financiamiento-4toTrimestres.pdf,budget_execution,unknown,0.26,/data/documents/pdfs/budget_execution/unknown/1bc732bc_Estado-de-Ejecucion-de-Gastos-por-Fuente-de-Financiamiento-4toTrimestres.pdf
787feaa0bb2b433eb2af8f63287ed3216a4803ff880a01ffd9cffe55e51cacb3,ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS-1.pdf,budget_execution,unknown,0.11,/data/documents/pdfs/budget_execution/unknown/787feaa0_ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS-1.pdf
ab419cf2f9b6fe30ff65392bb507d7cfb06d011a4f3fb09ea2db4bccd89134a6,ESTADOS-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-3°TRI-2022.pdf,budget_execution,2022,0.08,/data/documents/pdfs/budget_execution/2022/ab419cf2_ESTADOS-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-3°TRI-2022.pdf
7ae065cb66d61c6942d686e332cc25f3921fcfc3cf00410644d24bfa93de5163,ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-2.pdf,budget_execution,unknown,0.06,/data/documents/pdfs/budget_execution/unknown/7ae065cb_ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-2.pdf
0234d274672c198ae963fe47dbacce1e8b02095e7ad63da982b855a64557ebd7,ESTADO-DE-EJECUCION-DE-RECURSOS-POR-CARACTER-ECONOMICO-2.pdf,budget_execution,unknown,0.1,/data/documents/pdfs/budget_execution/unknown/0234d274_ESTADO-DE-EJECUCION-DE-RECURSOS-POR-CARACTER-ECONOMICO-2.pdf
46e3161758ab366576a2e38d58389174e0545d9f694d088768901d32fa3b8969,ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-2.pdf,budget_execution,unknown,0.1,/data/documents/pdfs/budget_execution/unknown/46e31617_ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-2.pdf
0572c13dab859bf3f85f24c2fe3168147a18cd8bf706013e4a9ed21374de4076,Estado-de-Ejecucion-de-Recursos-Afectados-vs-Gastos-Junio.pdf,budget_execution,unknown,0.36,/data/documents/pdfs/budget_execution/unknown/0572c13d_Estado-de-Ejecucion-de-Recursos-Afectados-vs-Gastos-Junio.pdf
f1bf0d80ec91075182b068899dcefb94bff746ec949a42dce807df523023306a,Estado-de-Ejecucion-de-Gastos-por-Fuente-de-Financiamiento-Junio.pdf,budget_execution,unknown,0.26,/data/documents/pdfs/budget_execution/unknown/f1bf0d80_Estado-de-Ejecucion-de-Gastos-por-Fuente-de-Financiamiento-Junio.pdf
6a7ceab2efb87ac1518f96e1238e0a1c2e0b6f2810696f7151cf8fd4e9341a5e,RECURSOS-POR-PROCEDENCIA.pdf,revenue_reports,unknown,0.35,/data/documents/pdfs/revenue_reports/unknown/6a7ceab2_RECURSOS-POR-PROCEDENCIA.pdf
d8bfffdd6c9c62b59142839b09aba07e0782b3e00aaeb8b7c3628033e9d5e72a,SITUACION-ECONOMICA-FINANCIERA-4°TRE-2022.pdf,financial_statements,2022,0.08,/data/documents/pdfs/financial_statements/2022/d8bfffdd_SITUACION-ECONOMICA-FINANCIERA-4°TRE-2022.pdf
a98757a4754a94ae7451d477641f0939dc0feb3b5bce83c39e30d77d66e7e492,Estado-de-Ejecucion-de-Gastos-por-Caracter-Economico-Marzo.pdf,budget_execution,unknown,0.38,/data/documents/pdfs/budget_execution/unknown/a98757a4_Estado-de-Ejecucion-de-Gastos-por-Caracter-Economico-Marzo.pdf
551ae71a8be9e2903b5988db85ab273f80955ad0bae57613759ea2076085efdd,LICITACION-PUBLICA-N°11.pdf,contracts,unknown,0.73,/data/documents/pdfs/contracts/unknown/551ae71a_LICITACION-PUBLICA-N°11.pdf
e625b3186807e104214e98dfc2532cf328ae8c476f85de4900a32e0b842797aa,LICITACION-PUBLICA-N°9.pdf,contracts,unknown,0.7,/data/documents/pdfs/contracts/unknown/e625b318_LICITACION-PUBLICA-N°9.pdf
